t_minus_t0_M,FastEMRIWaveforms_delta_h20_real_over_nu,FastEMRIWaveforms_delta_h20_imag_over_nu,effective_0PN_delta_h20_real_over_nu,effective_0PN_delta_h20_imag_over_nu,FastEMRIWaveforms_delta_h30_real_over_nu,FastEMRIWaveforms_delta_h30_imag_over_nu,effective_0PN_delta_h30_real_over_nu,effective_0PN_delta_h30_imag_over_nu
199945913979.61258,0.0695547529335834,-3.278390499623605e-19,0.023592504512526355,0.0,-5.8421129035618556e-27,4.307287489719244e-09,0.0,1.9455558661118612e-10
199946001265.15305,0.06961245751225517,-3.266239788931521e-19,0.023593082305104714,0.0,-5.813861261364407e-27,4.318564213217938e-09,0.0,1.9456773427105934e-10
199946088261.71414,0.06967019384105919,-3.2537861670760053e-19,0.023593658235452727,0.0,-5.766249531361756e-27,4.329870071575795e-09,0.0,1.9457984331179734e-10
199946174970.2526,0.06972796196594833,-3.241018164316708e-19,0.02359423230940816,0.0,-5.7003802117578675e-27,4.341205055109394e-09,0.0,1.9459191385100146e-10
199946261391.72195,0.0697857619291491,-3.227925701266351e-19,0.023594804532792276,0.0,-5.617355800756577e-27,4.3525691541353366e-09,0.0,1.946039460059641e-10
199946347527.0727,0.0698435937692877,-3.214500071258071e-19,0.02359537491140922,0.0,-5.5182787965616496e-27,4.363962358970224e-09,0.0,1.9461593989365505e-10
199946433377.25198,0.06990145752135053,-3.2007339228929583e-19,0.023595943451044866,0.0,-5.404251697377044e-27,4.3753846599306354e-09,0.0,1.9462789563069744e-10
199946518943.204,0.06995935321679435,-3.1866212426958066e-19,0.023596510157469445,0.0,-5.2763770014066505e-27,4.386836047333159e-09,0.0,1.9463981333342247e-10
199946604225.86978,0.07001728088350578,-3.172157337947746e-19,0.023597075036435055,0.0,-5.135757206854498e-27,4.398316511494374e-09,0.0,1.9465169311781708e-10
199946689226.18716,0.07007524054586091,-3.1573388196362646e-19,0.02359763809367736,0.0,-4.983494811924345e-27,4.409826042730883e-09,0.0,1.946635350995592e-10
199946773945.09094,0.07013323222478494,-3.142163585543969e-19,0.023598199334914596,0.0,-4.820692314819886e-27,4.421364631359286e-09,0.0,1.9467533939399636e-10
199946858383.5128,0.07019125593774428,-3.126630803493512e-19,0.023598758765848313,0.0,-4.648452213745159e-27,4.432932267696163e-09,0.0,1.9468710611616172e-10
199946942542.38132,0.0702493116988231,-3.110740894708448e-19,0.023599316392163165,0.0,-4.467877006904247e-27,4.444528942058091e-09,0.0,1.946988353807691e-10
199947026422.62207,0.07030739951869734,-3.09449551733851e-19,0.02359987221952709,0.0,-4.280069192500848e-27,4.456154644761671e-09,0.0,1.9471052730221635e-10
199947110025.15747,0.0703655194047456,-3.0778975500833663e-19,0.023600426253590875,0.0,-4.086131268738629e-27,4.467809366123508e-09,0.0,1.9472218199457603e-10
199947193350.90698,0.07042367136098815,-3.060951075999586e-19,0.023600978499989118,0.0,-3.887165733821669e-27,4.479493096460177e-09,0.0,1.9473379957161547e-10
199947276400.78693,0.07048185538818028,-3.043661366398572e-19,0.023601528964338838,0.0,-3.6842750859538525e-27,4.4912058260882696e-09,0.0,1.9474538014676769e-10
199947359175.71066,0.07054007148385433,-3.026034864891517e-19,0.02360207765224101,0.0,-3.478561823339283e-27,4.502947545324361e-09,0.0,1.9475692383316257e-10
199947441676.58847,0.07059831964229196,-3.0080791715882607e-19,0.023602624569279765,0.0,-3.271128444181621e-27,4.514718244485057e-09,0.0,1.9476843074361076e-10
199947523904.32767,0.07065659985461774,-2.98980302739118e-19,0.023603169721022943,0.0,-3.063077446684526e-27,4.526517913886959e-09,0.0,1.947799009906141e-10
199947605859.8325,0.07071491210877055,-2.9712162984571965e-19,0.023603713113021094,0.0,-2.855511329052099e-27,4.538346543846642e-09,0.0,1.9479133468634542e-10
199947687544.00433,0.07077325638961526,-2.9523299607456034e-19,0.023604254750809406,0.0,-2.6495325894884432e-27,4.550204124680686e-09,0.0,1.94802731942688e-10
199947768957.74142,0.07083163267887799,-2.9331560847510054e-19,0.023604794639905537,0.0,-2.4462437261972145e-27,4.5620906467056925e-09,0.0,1.9481409287119058e-10
199947850101.93915,0.07089004095523989,-2.913707820313825e-19,0.023605332785811367,0.0,-2.2467472373820795e-27,4.574006100238266e-09,0.0,1.9482541758310282e-10
199947930977.48984,0.07094848119434262,-2.8939993815863565e-19,0.023605869194011763,0.0,-2.0521456212471396e-27,4.58595047559498e-09,0.0,1.9483670618935027e-10
199948011585.28296,0.07100695336884681,-2.874046032107786e-19,0.02360640386997635,0.0,-1.863541375996277e-27,4.5979237630924275e-09,0.0,1.9484795880057078e-10
199948091926.20496,0.0710654574484011,-2.8538640700349706e-19,0.02360693681915731,0.0,-1.682036999833566e-27,4.609925953047185e-09,0.0,1.948591755270681e-10
199948172001.13937,0.07112399339975427,-2.833470813449379e-19,0.023607468046991157,0.0,-1.5087349909626776e-27,4.621957035775856e-09,0.0,1.9487035647884898e-10
199948251810.96683,0.07118256118670542,-2.812884585843302e-19,0.02360799755889826,0.0,-1.3447378475873211e-27,4.634017001595041e-09,0.0,1.9488150176561318e-10
199948331356.565,0.07124116077018021,-2.792124701685849e-19,0.02360852536028232,0.0,-1.1911480679115696e-27,4.646105840821319e-09,0.0,1.9489261149674168e-10
199948410638.80872,0.07129979210827117,-2.7712114521232815e-19,0.02360905145653162,0.0,-1.04906815013945e-27,4.658223543771266e-09,0.0,1.9490368578132352e-10
199948489658.5699,0.07135845515622281,-2.7501660908204914e-19,0.023609575853017914,0.0,-9.196005924745392e-28,4.670370100761499e-09,0.0,1.949147247281315e-10
199948568416.71747,0.07141714986647119,-2.729010819903936e-19,0.02361009855509693,0.0,-8.038478931209948e-28,4.682545502108582e-09,0.0,1.9492572844563312e-10
199948646914.1176,0.0714758761886835,-2.7077687760242854e-19,0.023610619568108403,0.0,-7.029125502824496e-28,4.69474973812913e-09,0.0,1.9493669704199045e-10
199948725151.6336,0.07153463406981639,-2.6864640165310864e-19,0.023611138897376583,0.0,-6.178970621629177e-28,4.70698279913972e-09,0.0,1.949476306250712e-10
199948803130.12582,0.0715934234540624,-2.66512150580629e-19,0.023611656548208883,0.0,-5.4990392696634425e-28,4.7192446754569285e-09,0.0,1.949585293024198e-10
199948880850.45187,0.0716522442829825,-2.643767101647718e-19,0.023612172525897993,0.0,-5.000356428965085e-28,4.731535357397362e-09,0.0,1.9496939318130176e-10
