t_minus_t0_M,NRHybSur3dq8_CCE_delta_h20_real_over_nu,NRHybSur3dq8_CCE_delta_h20_imag_over_nu,SEOBNRv5EHM_delta_h20_real_over_nu,SEOBNRv5EHM_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_delta_h30_real_over_nu,NRHybSur3dq8_CCE_delta_h30_imag_over_nu,SEOBNRv5EHM_delta_h30_real_over_nu,SEOBNRv5EHM_delta_h30_imag_over_nu
288480.0,0.000616127831115836,0.0,0.0006167488667484913,4.463539936470149e-32,0.0,3.616363743037259e-08,-2.2186712959340957e-30,3.471189554771463e-08
288720.0,0.0006167016629335434,0.0,0.0006173227346346369,1.5121827265445555e-31,0.0,3.619922159982154e-08,4.8810768510550105e-30,3.4746002362158366e-08
288960.0,0.0006172754141816666,0.0,0.000617896718080701,7.94298846460731e-31,0.0,3.623480492615897e-08,-1.7749370367472766e-30,3.47801173604208e-08
289200.0,0.0006178491281440938,0.0,0.0006184708171209574,1.0858382510059076e-30,0.0,3.627038571879434e-08,-2.2186712959340957e-30,3.481424174795455e-08
289440.0,0.0006184228395833772,0.0,0.0006190450317993421,7.903876010112993e-31,0.0,3.630596313403667e-08,-4.4373425918681914e-30,3.484837905043502e-08
289680.0,0.0006189965521795457,0.0,0.0006196193621705809,1.4383096836909953e-30,0.0,3.634153934461209e-08,0.0,3.488253023366869e-08
289920.0,0.0006195702627761906,0.0,0.0006201938082907164,5.185929766415893e-31,0.0,3.637711720971702e-08,4.8810768510550105e-30,3.491669560031658e-08
290160.0,0.000620143987136884,0.0,0.0006207683702164856,7.947209589379686e-31,0.0,3.6412701215138835e-08,4.437342591868191e-31,3.495087541808833e-08
290400.0,0.0006207177799487616,0.0,0.000621343048004697,1.4046347889751602e-30,0.0,3.6448299193006584e-08,1.7749370367472766e-30,3.4985069322480985e-08
290640.0,0.0006212916991382468,0.0,0.0006219178417036539,1.0126546804718399e-30,0.0,3.64839192612475e-08,6.656013887802287e-30,3.501927439974945e-08
290880.0,0.0006218657494762323,0.0,0.0006224927513533893,1.2758679574845572e-30,0.0,3.651956521815774e-08,7.987216665362745e-30,3.505348929537781e-08
291120.0,0.0006224398705812818,0.0,0.0006230677769910989,9.493331141105008e-31,0.0,3.655523556749454e-08,7.987216665362745e-30,3.508771284729491e-08
291360.0,0.0006230140036703818,0.0,0.0006236429186512735,1.706822518626308e-30,0.0,3.65909282507228e-08,4.437342591868191e-31,3.512194392108187e-08
291600.0,0.0006235881685248339,0.0,0.0006242181763657247,1.2031886793263417e-30,0.0,3.6626637850700436e-08,7.099748146989106e-30,3.515618141644871e-08
291840.0,0.0006241624429683113,0.0,0.0006247935501650746,6.166760830043929e-31,0.0,3.666235646898733e-08,4.8810768510550105e-30,3.519042549363114e-08
292080.0,0.0006247369027778667,0.0,0.0006253690400821122,1.3057785936043135e-30,0.0,3.669807698139382e-08,1.7749370367472766e-30,3.522467731405109e-08
292320.0,0.0006253115993208069,0.0,0.000625944646152481,1.172578032007329e-30,0.0,3.6733798229803716e-08,-2.2186712959340957e-30,3.525893809527895e-08
292560.0,0.0006258865733139096,0.0,0.0006265203684146733,2.767595724400389e-31,0.0,3.676952165923222e-08,7.987216665362745e-30,3.529320902723474e-08
292800.0,0.0006264618621478258,0.0,0.0006270962069100711,1.133302107459382e-30,0.0,3.680524875569785e-08,8.430950924549564e-30,3.532749141323783e-08
293040.0,0.0006270374902424514,0.0,0.0006276721616867195,7.410258130654575e-31,0.0,3.684098112445737e-08,6.656013887802287e-30,3.536178782641143e-08
293280.0,0.0006276134785458539,0.0,0.0006282482328008036,3.3913722093876587e-31,0.0,3.6876720403073125e-08,1.3312027775604574e-30,3.539609859861161e-08
293520.0,0.0006281897904342102,0.0,0.0006288244203082234,-2.678587832670012e-31,0.0,3.691246884211192e-08,-2.662405555120915e-30,3.5430423233052836e-08
